url,label,pos
http://ywypk.weikaiyu.com/imgall/oaytilthn4ydanzomnxw2/2014_11_21_09/8be7404de7c8585c_0.jpg,0,18
http://img.ganchang.cn/infofile/20151211/201512111456499675.jpg,0,28
http://i1.wp.com/p1.pstatp.com/large/127d0007b0130b818fa3,0,56
http://m.qqzhi.com/upload/img_0_774444296D101636470_23.jpg,0,66
http://www.jahuaxia.cn/upload/img/oNOL1YQfk9Sw3hfPpivZI472LocHt-ZepTt5WD4LX1dUCpuofmp7PAvHed7WvXm4b6yPFweUncFnTF950lJqUt565C/JpftlQ48GEBg48WPv69ANwdc7.jpg,0,67
http://www.laijiemi.com/d/file/2017/04/19/2cc309e98c7f09435148540511ce6c30.jpg,0,84
http://pics6.blog.yam.com/20/userfile/p/petsSky/album/14ad8f1f04e002.jpg,0,90
http://www.212828.org.cn/imgall/mjrhg2lnmftwk4zonvuwy2lumfzhsltdnbuw4yjomnxw2/1011/2009/5/4/mid/1241445549955.jpg,1,0
http://page.aigou.com/upload/blog/2009/01/27/61822322.snap_m.jpg,1,11
http://imgnews.gmw.cn/attachement/jpg/site2/20160821/6612245502376559281.jpg,1,15
http://cimg.taohuaan.net/upload/201111/16/084003PL7l9.jpg,1,20
http://www.ksks001.com/img1/3393123736365874718.jpg,1,30
http://imglf2.nosdn.127.net/img/vjgyyvlpdunvoderdudov2rjauxvzvvvwlgraxfbwmfkz2dpaznymengwuvmzdvmrgxhk2hrpt0.jpg?imageview&thumbnail=500x0&quality=96&stripmeta=0&type=jpg,1,35
http://img.116.la/116la/2016-05-02/jv4zre0siux.jpg,1,41
http://club2.autoimg.cn/album/g15/m12/e6/e0/userphotos/2015/11/20/16/500_wkgh5vzo24qatyzwaamoqpsldzk702.jpg,1,43
http://www.zgqd88.com/uploads/allimg/160226/154S03021-0.jpg,1,68
http://img.funshion.com/pictures/174/520/4/1745204.jpg,1,81
http://i1.dpfile.com/groups/grouppic/2009-03-11/beijingactivities_2512205_965422_l.jpg,1,82
http://m.qqzhi.com/upload/img_1_1006915074D868298641_23.jpg,1,83
http://static.ettoday.net/images/105/d105646.jpg,1,85
http://wenwen.soso.com/p/20090618/20090618182307-2077445813.jpg,1,86
http://files.xici.net/d180826261.0/Glammi_2BH_Hadeland_1_web.jpg,2,0
http://baike.duochong.cn/upload/image/20141222/20141222151818_22002.jpg,2,4
https://st.depositphotos.com/1594920/2455/i/170/depositphotos_24557399-stock-photo-hairless-mixed-breed-dog-mix.jpg,2,10
http://pics6.blog.yam.com/20/userfile/p/petsSky/album/14ad8f2862f7bf.jpg,2,11
http://img1.qq.com/news/20060614/3667900.jpg,2,13
http://petovo.com/dog/UploadFiles_9026/200807/20080716151104888.jpg,2,17
http://www.goumin.com/attachments/photo/0/0/61/15813/4048370o2.jpg,2,22
https://i2.kknews.cc/large/1919000667527e9901cc,2,24
http://www.goumin.com/attachments/photo/0/0/9/2414/618056.jpg,2,29
http://www.goumin.com/attachments/photo/0/0/6/1592/407661.jpg,2,33
http://www.lady8844.com/h040/h69/img201410021958370.jpg,2,35
http://img5.yxlady.com/Pet/UploadFiles_8150/20120617/20120617024544749.jpg,2,47
http://www.goumin.com/attachments/photo/0/0/61/15813/4048370o2.jpg,2,56
http://img3.fengniao.com/forum/attachpics/165/153/6590512.jpg,2,60
http://www.health001.cn/uploads/allimg/160820/160T260E_lit.jpg,2,69
http://static.ettoday.net/images/100/d100955.jpg,2,74
http://www.goumin.com/attachments/photo/0/0/62/16080/4116605o2.jpg,2,79
https://st2.depositphotos.com/1080148/11595/i/950/depositphotos_115951090-stock-photo-cute-chinese-crested-dog.jpg,2,92
https://i1.kknews.cc/list/18af00033827c02e79a6,2,95
http://www.goumin.com/attachments/photo/0/0/34/8772/2245800o2.jpg,3,6
http://www.cwdma.com/Article/UploadFiles/201010/2010102201101595.jpg,3,14
http://www.cwdma.com/Article/UploadFiles/201003/2010032702471407.jpg,3,18
